iteration_number,window_number,acc_x_vals,acc_y_vals,acc_z_vals,gyro_x_vals,gyro_y_vals,gyro_z_vals,activity_name
5,6,"[-1.905, -1.795, -1.972, -1.759, -2.0, -1.948, -2.102, -1.927, -1.97]","[7.09, 7.035, 7.04, 7.097, 7.078, 6.946, 7.073, 6.989, 7.179]","[6.651, 6.854, 6.632, 6.634, 6.739, 6.555, 6.629, 6.574, 6.418]","[-0.039, 0.012, 0.062, -0.008, -0.006, 0.012, -0.002, 0.044, 0.042]","[-0.017, 0.025, 0.036, 0.057, 0.013, 0.031, 0.027, 0.029, -0.027]","[0.034, 0.036, 0.026, 0.024, 0.009, -0.002, 0.009, 0.012, 0.007]",Sitting
5,7,"[-1.786, -2.305, -1.975, -1.888, -1.79, -1.405, -1.699, -1.881, -2.339]","[7.284, 6.877, 7.056, 7.044, 6.973, 7.083, 6.786, 7.006, 6.738]","[6.557, 6.943, 6.699, 6.524, 6.562, 6.804, 7.635, 6.744, 7.288]","[0.006, -0.004, -0.064, -0.044, -0.036, 0.017, 0.05, -0.051, -0.055]","[-0.055, -0.033, 0.044, 0.019, -0.006, -0.013, 0.054, 0.011, -0.078]","[-0.027, 0.021, 0.013, 0.05, -0.003, -0.017, 0.026, 0.001, -0.154]",Sitting
5,1,"[-2.521, -1.16, -3.254, -2.976, 3.236, 22.03, 16.641, 16.379, 7.042]","[6.17, 6.407, 5.56, 4.958, -0.822, -16.529, -3.66, -9.195, -12.072]","[7.324, 7.453, 7.24, 10.27, -1.977, 1.454, 2.498, 2.392, 0.529]","[-0.075, 0.11, -0.095, 0.57, 0.691, -0.802, -0.799, 2.046, -1.353]","[-0.028, 0.079, 0.166, 0.505, -3.086, -2.601, 1.651, -2.37, 0.224]","[0.005, 0.066, 0.101, 1.823, 3.648, 6.705, 1.525, -3.875, -3.84]",Walking
5,2,"[1.176, 14.334, 14.227, 13.328, 6.895, 1.164, 12.845, 14.579, 12.2]","[-6.965, -11.248, -5.069, -11.288, -10.232, -7.099, -11.025, -5.191, -9.552]","[-1.647, 2.994, 3.032, 2.701, 1.147, -0.766, 3.365, 2.095, 3.015]","[-1.047, -1.891, -0.819, 2.075, 0.336, -1.091, -0.87, -1.265, 1.791]","[-0.369, 0.32, 1.528, -2.218, -0.852, 0.488, 0.984, 1.777, -1.376]","[2.487, 4.046, 0.709, -3.405, -3.422, 1.812, 3.73, 1.067, -2.945]",Walking
5,3,"[8.941, -0.301, 11.204, 14.322, 13.053, 8.61, 0.066, 13.408, 13.563]","[-11.351, -6.882, -12.076, -4.982, -9.037, -12.761, -5.399, -9.392, -5.516]","[1.173, 0.275, 1.705, 0.254, 2.61, 2.438, -0.878, 3.451, 1.49]","[-0.028, -0.764, -1.696, -0.325, 1.813, 0.921, -0.735, -1.058, -0.645]","[-1.222, 1.497, 0.453, 1.628, -0.708, -1.009, 0.89, 0.713, 0.823]","[-3.282, 0.891, 4.161, 1.253, -2.823, -4.231, 1.407, 3.301, 0.989]",Walking
5,4,"[11.954, 7.317, 3.586, 10.095, 14.763, 14.037, 10.031, 1.854, 7.42]","[-6.671, -9.609, -6.355, -10.179, -4.772, -8.395, -15.022, -1.184, -12.086]","[1.466, 3.506, -0.134, 0.821, 1.288, 1.806, 4.141, -0.948, 5.516]","[1.064, 1.253, -0.302, -1.204, -0.086, 1.387, 1.406, -0.257, -3.982]","[-0.568, -0.849, 0.745, 0.508, 0.596, -2.032, 6.384, 0.847, -4.568]","[-2.226, -2.716, 0.656, 3.532, 1.062, -3.471, -4.116, -0.099, 2.279]",Walking
5,5,"[16.921, 14.595, 9.384, 1.226, 11.42, 16.216, 12.481, 8.828, 2.084]","[-6.206, -6.297, -11.353, -6.894, -9.566, -3.96, -9.37, -9.854, -6.807]","[9.369, 4.299, 1.724, 0.532, 2.852, 2.792, 3.331, 1.319, -0.357]","[-0.438, 1.408, 1.186, -0.47, -0.428, -0.36, 1.607, 0.167, -0.847]","[0.517, -1.241, -1.746, 0.555, 0.375, 1.119, -1.384, -1.433, 0.732]","[1.448, -2.388, -3.355, 1.34, 3.66, 0.912, -2.848, -3.09, 0.942]",Walking
5,6,"[10.21, 14.655, 11.491, 8.835, 2.122, 8.213, 12.018, 13.18, 10.742]","[-10.158, -6.098, -9.612, -10.69, -5.215, -10.11, -6.151, -4.645, -10.824]","[2.572, -0.034, 2.05, 1.64, 0.833, 2.888, 2.359, 1.557, -1.429]","[-1.299, 0.02, 1.091, 0.517, -1.131, -2.226, -1.255, -0.419, 1.69]","[0.927, 1.044, -1.218, -1.663, 0.737, 1.586, 2.332, 2.809, -0.579]","[3.715, 1.374, -2.954, -3.205, 1.175, 4.189, 1.181, -2.235, -3.349]",Walking
5,7,"[1.404, 12.033, 9.238, 14.413, 10.886, 3.241, 12.576, 4.369, 5.272]","[-5.478, -10.297, -7.076, -6.977, -11.676, -5.78, -3.44, -2.065, -1.014]","[0.184, 2.91, 0.515, 1.339, 2.527, -0.029, 5.844, 8.085, 12.456]","[-0.556, -1.051, -1.431, -0.033, 1.763, -0.053, -2.398, -0.808, -0.089]","[-0.248, 0.236, 1.784, 0.685, -1.886, 0.224, 2.981, 1.925, 0.023]","[0.161, 3.234, 1.338, -1.165, -2.781, -1.738, -0.21, -0.28, 0.018]",Walking
5,1,"[0.075, -0.998, -4.789, 0.661, 12.909, 1.636, 20.897, 11.429, 25.241]","[5.869, 5.55, 3.914, -0.077, 6.446, -0.647, -18.016, 3.756, -12.052]","[8.948, 7.836, 6.977, 8.471, 13.117, -1.544, 1.43, 17.4, 12.775]","[-0.192, -0.125, -0.217, 0.475, 2.72, 2.11, -4.137, -2.797, 4.516]","[0.284, 0.315, 0.402, -2.005, 1.801, -0.827, 1.297, 0.298, 0.505]","[0.311, 0.116, 0.234, 4.109, 0.768, 0.541, 5.669, 0.578, -1.846]",Walking Upstairs
5,2,"[-22.09, 33.959, 7.137, 30.036, 18.71, 8.225, 59.516, -26.481, 57.541]","[-26.837, -8.39, 11.779, -33.861, -38.96, 21.261, -29.512, -33.236, -59.479]","[1.602, 7.295, 3.293, 8.356, -7.17, 17.586, -1.589, 2.756, 22.503]","[1.23, -2.71, 0.564, 4.058, -1.547, -0.449, 2.815, -1.447, -5.192]","[-0.861, 1.292, 0.101, -1.07, -0.128, 0.347, 0.116, 0.738, 0.46]","[-3.391, 5.425, -1.019, -7.14, 8.52, 1.373, -6.185, -2.151, 12.649]",Walking Upstairs
5,3,"[9.887, 36.151, -1.819, 9.451, 39.995, 17.963, -15.257, 26.314, -2.415]","[0.501, -33.888, -17.199, -15.35, -14.728, -6.4, -20.033, -23.395, 0.959]","[18.195, -0.158, 0.184, -1.915, 11.292, 2.036, -3.994, -11.517, 1.674]","[-4.975, 3.959, 2.924, -2.249, -5.829, 2.026, -0.718, -1.481, 0.018]","[4.063, 3.472, -4.662, -0.686, 2.605, 1.514, -1.151, 0.464, 1.764]","[1.714, -5.005, -5.327, 5.93, 9.383, -2.611, -4.044, 6.3, 1.608]",Walking Upstairs
5,4,"[19.383, 22.331, 2.848, 14.916, 25.248, -2.315, 9.81, 9.108, 13.13]","[-6.647, -36.07, -29.543, -3.725, -6.75, -13.698, -12.632, -1.79, -6.613]","[4.768, 1.293, -0.569, 5.872, -0.478, -12.801, -0.861, 4.512, 5.64]","[0.881, 3.67, -1.908, -0.631, 1.566, 2.205, -5.755, -4.169, -1.07]","[1.675, -1.668, -0.617, 0.495, 2.213, 0.191, -0.547, 0.015, -1.38]","[-3.18, -8.319, 6.018, 1.639, -1.158, -4.216, 0.919, -0.293, 0.861]",Walking Upstairs
5,5,"[8.134, 4.156, 5.413, 7.384, 23.309, -22.821, 31.143, 12.133, -0.554]","[-6.223, 7.837, -12.381, -13.801, 3.469, -22.066, -4.168, -9.657, -5.291]","[-0.268, 1.739, 2.445, 0.122, -0.146, -4.667, -8.54, 3.149, -11.119]","[0.573, -1.49, 1.998, -1.847, 0.204, 1.352, -0.045, -1.109, 0.677]","[0.01, -0.141, -0.077, 0.296, 0.802, -1.575, 1.688, 1.516, 8.314]","[0.435, 0.256, -4.294, 5.591, -1.762, -6.245, 7.468, -5.506, -2.543]",Walking Upstairs
5,6,"[-11.418, 2.853, 6.572, 19.168, 13.41, 24.087, -4.973, 19.821, 9.415]","[4.405, -0.166, -9.492, -5.31, -3.294, -30.288, -7.698, -20.152, 6.848]","[16.228, 5.516, -16.81, 7.245, 4.261, 8.675, 2.572, 2.589, 6.663]","[-0.402, 0.438, 1.161, -2.647, 0.035, 3.024, 0.115, -1.477, -0.226]","[1.828, 0.528, -5.421, -0.838, -0.013, -3.833, 0.996, -0.306, 0.537]","[2.526, 1.738, 2.491, 4.559, -1.32, -7.074, -2.095, 5.152, -0.285]",Walking Upstairs
5,7,"[-4.655, 13.647, 11.003, 12.447, 14.904, 5.018, 2.023, 17.893, 1.157]","[-20.301, 8.637, -25.357, -5.864, 2.104, -5.806, -12.951, 4.614, 6.597]","[-5.165, 15.817, -5.151, -2.638, -0.77, 2.687, -2.061, 0.462, -0.749]","[1.187, -2.572, 3.464, 0.069, 1.012, 0.362, -1.064, -1.541, 0.161]","[0.226, 0.427, -1.223, -0.943, -0.383, 0.93, 0.632, 1.222, -0.431]","[-5.756, 3.87, -8.557, 7.819, -2.53, -4.08, 4.132, 1.222, 0.874]",Walking Upstairs
