iteration_number,window_number,acc_x_vals,acc_y_vals,acc_z_vals,gyro_x_vals,gyro_y_vals,gyro_z_vals,activity_name
2,2,"[3.435, 10.557, 17.913, 14.734, 10.462, 0.166, 13.851, 15.719, 13.958]","[-5.519, -11.252, -5.37, -7.298, -13.422, -6.486, -13.355, -4.649, -12.227]","[0.452, 0.601, 6.804, 2.402, 1.387, 0.304, 3.046, -0.029, 3.856]","[0.959, -1.614, -2.636, 0.457, 2.307, -0.273, -2.019, -0.764, 0.289]","[-1.067, 1.954, 0.001, -0.956, -2.604, 0.743, 0.264, 0.109, 0.446]","[-2.741, 2.136, 4.685, -0.638, -4.368, -2.276, 5.145, 2.937, -3.204]",Walking
2,3,"[4.769, 5.094, 14.354, 15.479, 12.732, 0.159, 13.863, 13.93, 13.336]","[-8.865, -10.989, -8.807, -4.664, -13.473, -6.767, -12.141, -4.594, -8.948]","[-0.34, 0.448, 1.513, 1.327, 2.069, -0.146, -0.216, 1.157, 3.006]","[1.962, -1.161, -2.088, -0.086, 1.798, -0.51, -2.001, -0.591, 0.233]","[-2.426, 0.91, -0.025, 0.903, -2.136, 0.262, 0.371, -0.127, -1.035]","[-5.191, 1.084, 4.492, 0.888, -3.185, -3.381, 4.507, 3.315, -1.098]",Walking
2,4,"[8.605, 0.98, 15.448, 11.657, 14.004, 5.928, 2.625, 13.652, 13.17]","[-10.11, -7.21, -9.497, -4.01, -8.489, -10.68, -8.352, -9.619, -5.212]","[1.128, 0.737, 0.079, -0.022, 2.057, 3.077, 0.323, 1.636, 0.694]","[1.784, -1.036, -0.999, -0.163, 2.404, 0.838, -0.078, -1.674, 0.088]","[-2.488, 1.653, -0.05, -0.061, -5.269, -1.891, 0.733, 0.431, 0.046]","[-3.046, -2.181, 4.401, 1.399, -1.174, -4.095, -0.538, 4.077, 1.123]",Walking
2,5,"[10.38, 6.268, 5.545, 13.237, 14.342, 11.168, 0.592, 8.668, 11.269]","[-10.675, -9.085, -8.553, -7.111, -4.664, -11.913, -6.616, -6.891, -11.427]","[3.104, 1.643, 0.014, 0.898, 2.713, 2.613, -0.787, -0.285, 2.067]","[0.278, 0.935, -0.861, -0.935, 0.122, 0.818, 0.951, -4.096, -1.377]","[-0.128, -2.004, 1.494, 0.2, 0.18, -1.326, -0.328, 3.601, -0.979]","[-2.859, -3.201, 0.649, 3.831, 0.73, -3.381, -2.861, 0.94, 3.529]",Walking
2,6,"[13.427, 11.211, -0.904, 16.681, 15.012, 16.511, 7.659, 2.11, 1.792]","[-5.938, -13.271, -6.776, -12.424, -3.881, -12.23, -9.962, 2.767, 6.69]","[2.464, 1.394, -1.74, 3.954, -0.711, 4.524, 3.451, 0.299, 10.401]","[0.543, 2.257, 0.757, -1.849, 0.904, 0.144, 1.489, 1.378, -1.822]","[1.649, -3.229, 0.419, 0.141, 0.195, -0.492, 7.203, 0.626, -1.186]","[-1.481, -3.83, -2.294, 4.951, 1.372, -3.029, -4.859, -0.513, -0.435]",Walking
2,7,"[-0.056, 1.971, 8.45, 13.812, 11.372, 15.862, 1.919, 3.602, 16.801]","[5.191, 1.256, -12.39, -5.473, -3.454, -15.722, -7.811, -11.296, -9.38]","[12.77, 5.25, -0.907, 6.953, 0.39, 3.964, 1.439, 0.591, 3.722]","[0.017, 0.272, -0.458, -2.68, 0.17, 0.458, 2.049, -1.058, -3.208]","[-0.075, -0.329, -4.163, -1.385, -0.812, 0.611, -1.531, 1.092, 0.516]","[-0.567, 0.67, 2.286, 4.532, 0.688, -3.186, -3.776, 0.831, 5.352]",Walking
2,1,"[-0.686, -0.935, -0.981, -2.921, 0.195, 21.644, 1.658, 8.047, 16.162]","[6.527, 6.204, 6.922, 5.984, 4.341, -1.641, 13.092, -8.172, -1.474]","[7.535, 7.515, 6.476, 3.755, 3.125, 19.548, 9.151, 3.736, 2.919]","[-0.039, -0.138, -0.114, -0.56, 0.224, -2.641, -0.644, 3.633, -4.703]","[0.046, -0.009, -0.038, -0.854, -0.747, -3.743, 1.085, 0.496, -1.573]","[0.027, -0.017, 0.014, 0.242, 1.091, 1.423, -0.133, -0.662, -0.135]",Walking Upstairs
2,2,"[-0.31, 15.364, 9.578, 1.425, 27.172, 0.709, 5.31, 12.507, 5.746]","[6.858, -6.405, -8.793, 9.03, -4.824, -11.834, 2.626, 4.333, -6.424]","[2.579, 9.132, -7.179, 9.843, 8.196, -5.299, 5.027, 1.104, -4.408]","[0.735, 5.473, -3.518, -1.078, 4.209, -1.288, -1.988, -0.954, 2.311]","[0.461, 0.905, -1.482, 0.082, 1.736, -0.283, 0.765, 0.226, 0.786]","[0.392, -0.809, 3.159, 1.691, -3.447, 3.031, 0.179, 0.728, -3.145]",Walking Upstairs
2,3,"[21.45, 10.577, 15.515, 18.703, -3.907, 33.095, -1.438, 34.009, -11.461]","[-17.927, -2.451, 0.595, -15.669, -7.717, -22.523, 9.135, -16.306, -28.813]","[1.267, 2.184, 5.98, -2.32, 0.053, 10.825, 2.9, 4.474, -0.727]","[-5.644, -1.518, -2.577, 4.814, 0.208, -4.747, -0.742, 2.916, -2.88]","[-2.355, 0.629, 2.141, 0.583, -0.821, -0.08, 1.653, 1.424, 0.311]","[3.645, 2.023, 1.794, -5.317, 1.507, 5.122, -1.429, -4.212, 3.32]",Walking Upstairs
2,4,"[14.641, 38.474, -12.415, 19.072, -3.206, 16.167, -2.839, 28.463, 9.24]","[4.427, -4.182, -22.396, -0.427, 4.388, -13.832, -8.611, -3.2, -2.175]","[6.612, 9.269, -6.605, 9.427, 2.828, -0.158, -2.277, 2.548, 2.797]","[-2.094, 3.72, 1.303, -3.047, -2.313, 1.026, -1.944, -3.735, -2.776]","[1.693, 1.097, 0.675, 1.186, 0.839, 0.107, -2.356, -2.17, 1.185]","[1.544, -3.916, -0.794, 0.835, -0.867, -4.57, -1.66, 3.685, 0.397]",Walking Upstairs
2,5,"[19.556, 4.56, 1.032, -1.115, -0.346, -1.553, -0.578, -1.352, 5.791]","[4.312, -5.713, -2.515, 0.966, -0.367, 7.854, 1.134, 2.379, 0.913]","[4.464, -4.938, 8.069, 4.89, 16.746, 6.052, 8.897, 5.722, 6.1]","[-1.51, 0.042, 0.229, -0.453, -0.99, 1.591, -0.076, 1.415, 0.021]","[1.763, 3.761, 2.851, -0.115, -0.026, 0.51, 1.247, 1.703, -0.471]","[0.917, -2.973, -1.749, -0.312, 1.443, -0.36, 0.004, 1.143, 0.297]",Walking Upstairs
2,6,"[-3.634, 2.113, -3.433, 0.061, -7.287, -14.024, -0.631, -3.881, -2.243]","[3.878, 2.595, 4.278, -0.396, 3.306, 5.03, 2.072, 3.109, 7.464]","[13.568, 3.94, 14.035, 2.225, 23.38, 33.022, 1.149, 7.796, 13.534]","[1.027, -1.524, -0.325, -1.55, -1.469, -0.17, 0.135, -0.959, -0.121]","[0.27, 0.298, -0.064, 0.604, 0.334, 2.705, -0.125, 0.005, 0.491]","[-0.43, 0.372, 0.055, 1.848, 0.779, 0.677, 0.952, 0.785, 0.972]",Walking Upstairs
