iteration_number,acc_x_vals,acc_y_vals,acc_z_vals,gyro_x_vals,gyro_y_vals,gyro_z_vals,activity_name,timestamp
1,8.560,-11.918,9.930,3.037,1.546,-3.413,Walking,1665775702994
1,1.528,-8.393,-0.957,0.920,-0.596,-0.048,Walking,1665775703232
1,-1.105,5.172,9.611,0.146,-0.140,0.039,Walking Upstairs,1665775709510
1,-1.005,5.061,7.537,0.065,0.009,-0.146,Walking Upstairs,1665775709746
1,-1.016,5.349,8.433,-0.230,0.225,0.099,Walking Upstairs,1665775709985
1,-0.497,5.739,8.332,-0.077,0.107,0.162,Walking Upstairs,1665775710223
1,-1.512,4.566,5.504,-0.236,-0.085,0.139,Walking Upstairs,1665775710463
1,1.861,5.634,13.654,-0.726,-2.413,0.778,Walking Upstairs,1665775710702
1,7.006,1.304,4.201,-1.106,-0.648,0.226,Walking Upstairs,1665775710939
1,14.303,4.570,30.812,-1.829,-2.235,0.705,Walking Upstairs,1665775711178
1,1.140,-1.064,0.941,2.329,0.639,-0.252,Walking Upstairs,1665775711414
1,-0.341,5.794,0.582,-1.350,-1.166,1.547,Walking Upstairs,1665775711652
1,-5.486,-23.486,4.943,-2.106,-0.042,1.028,Walking Upstairs,1665775711892
1,51.285,6.371,5.247,0.732,-1.958,4.812,Walking Upstairs,1665775712131
1,10.292,-55.920,4.845,3.427,-3.380,-9.895,Walking Upstairs,1665775712369
1,69.427,-4.635,17.069,-1.848,0.298,8.563,Walking Upstairs,1665775712605
1,47.335,-57.246,13.074,6.050,-3.395,-10.066,Walking Upstairs,1665775712845
1,32.881,-25.975,-5.014,-1.902,1.008,11.611,Walking Upstairs,1665775713083
1,8.153,-9.377,-1.513,0.846,1.497,-3.281,Walking Upstairs,1665775713322
1,30.688,-25.979,17.378,5.452,-4.517,-2.905,Walking Upstairs,1665775713560
1,-0.835,-8.798,-0.684,4.394,1.100,-2.913,Walking Upstairs,1665775713800
1,16.236,-10.390,-0.271,0.469,-0.370,5.132,Walking Upstairs,1665775714037
1,17.448,4.254,-3.975,0.496,-0.742,0.713,Walking Upstairs,1665775714275
1,33.123,-18.054,1.662,1.394,0.847,-6.385,Walking Upstairs,1665775714515
1,-8.036,-7.042,-1.206,0.893,0.333,-2.310,Walking Upstairs,1665775714752
1,23.445,-34.875,-5.956,-3.465,0.682,9.085,Walking Upstairs,1665775714990
1,16.007,20.128,15.927,-1.377,-0.820,0.487,Walking Upstairs,1665775715229
1,29.708,-41.437,4.249,1.645,-1.334,-9.092,Walking Upstairs,1665775715467
1,24.101,-44.519,0.726,-2.272,0.093,11.037,Walking Upstairs,1665775715706
1,26.080,11.459,1.420,-0.692,0.720,-2.964,Walking Upstairs,1665775715943
1,-37.869,-41.298,-6.128,-1.257,1.245,-7.263,Walking Upstairs,1665775716181
1,36.404,9.710,-17.009,3.292,-2.580,4.376,Walking Upstairs,1665775716419
1,30.656,-47.058,0.706,2.735,-2.170,-9.917,Walking Upstairs,1665775716657
1,3.360,-36.654,-3.561,-2.297,-0.225,8.254,Walking Upstairs,1665775716897
1,44.380,8.393,8.394,-0.018,-1.823,-0.311,Walking Upstairs,1665775717136
1,-14.690,-40.453,6.586,-0.861,-0.481,-7.356,Walking Upstairs,1665775717372
1,54.496,-41.921,-13.141,1.509,-0.669,10.482,Walking Upstairs,1665775717610
1,12.864,11.585,2.088,-0.872,0.866,-1.404,Walking Upstairs,1665775717848
1,40.941,-66.858,-11.174,5.320,5.091,-11.338,Walking Upstairs,1665775718088
1,-1.163,-0.501,-2.878,-1.542,2.611,0.615,Walking Upstairs,1665775718327
1,-0.176,4.556,16.894,-1.418,-0.270,0.457,Walking Upstairs,1665775718563
1,-0.926,3.028,5.671,0.517,0.438,0.983,Walking Upstairs,1665775718802
1,-1.984,-2.951,0.979,2.260,-4.086,3.184,Walking Upstairs,1665775719043
1,43.822,-4.247,-4.107,1.505,-4.375,3.548,Walking Upstairs,1665775719281
1,14.825,16.857,13.223,3.447,-2.143,0.660,Walking Upstairs,1665775719518
1,-13.195,-50.868,-3.424,1.500,-0.505,-9.690,Walking Upstairs,1665775719757
1,74.239,-48.689,2.653,0.503,0.001,12.655,Walking Upstairs,1665775719995
